iter	MultiClass
0	1.072308332
1	1.025289908
2	0.9874606622
3	0.9384186859
4	0.9356550147
5	0.8930941014
6	0.8507593539
7	0.8334681944
8	0.8318987119
9	0.8035628117
10	0.8023940975
11	0.8013846801
12	0.8005125337
13	0.77076558
14	0.7701103723
15	0.7695436947
16	0.7690534854
17	0.752795214
18	0.7524341858
19	0.740787875
20	0.7190378592
21	0.7082879876
22	0.7080638318
23	0.6838817182
24	0.6529433601
25	0.6527774454
26	0.6363519565
27	0.6362127797
28	0.6206486799
29	0.6117234754
30	0.5988275094
31	0.598755501
32	0.5923211071
33	0.5767158086
34	0.5766732377
35	0.5614553089
36	0.5614163209
37	0.5493808531
38	0.5493424219
39	0.549309014
40	0.5383936881
41	0.5262216516
42	0.5261996274
43	0.515519697
44	0.5119151672
45	0.5119051249
46	0.5118963909
47	0.4976287161
48	0.4878381057
49	0.4878293476
50	0.4878217054
51	0.4826729733
52	0.4826678294
53	0.4826633394
54	0.4788281288
55	0.4788256533
56	0.4788234921
57	0.4705634044
58	0.470561113
59	0.4640826576
60	0.4558508448
61	0.4515254742
62	0.4515231981
63	0.4515212088
64	0.4515194703
65	0.4415854571
66	0.4415834469
67	0.4415816899
68	0.4415801543
69	0.4253127005
70	0.4253097739
71	0.4253072174
72	0.4190335575
73	0.4190327456
74	0.4123809714
75	0.4123802132
76	0.4123795494
77	0.4123789684
78	0.4088515859
79	0.3987095561
80	0.3987084653
81	0.3987075104
82	0.3944200153
83	0.3944192217
84	0.3944185277
85	0.3944179208
86	0.39441739
87	0.3916266111
88	0.3851102529
89	0.3791809095
90	0.3724837948
91	0.3724830721
92	0.3724824381
93	0.3643057966
94	0.3601750386
95	0.3601743393
96	0.3576889836
97	0.3550572712
98	0.3502686428
99	0.3469601202
100	0.3469591061
101	0.3452212719
102	0.3410752149
103	0.3343528211
104	0.3311746564
105	0.3267785409
106	0.3229013155
107	0.322899326
108	0.3228975685
109	0.3192911756
110	0.3192899598
111	0.3156056091
112	0.3125766862
113	0.3125750263
114	0.3125735581
115	0.3125722594
116	0.3125711106
117	0.3109346429
118	0.3109337303
119	0.3109329253
120	0.3081092929
121	0.3081090293
122	0.3081087973
123	0.3037519246
124	0.2963878377
125	0.2908758322
126	0.288040759
127	0.2880391969
128	0.2838424391
129	0.2809519443
130	0.2809496875
131	0.2809476816
132	0.2809458987
133	0.2779706002
134	0.2779688591
135	0.272579774
136	0.27097406
137	0.2679769112
138	0.2679733324
139	0.2642661672
140	0.2642621929
141	0.2628070535
142	0.2616165055
143	0.2616121091
144	0.2616081875
145	0.2566709549
146	0.2538706319
147	0.2538665231
148	0.2525097816
149	0.2511624832
150	0.2505040516
151	0.2505017706
152	0.2467957802
153	0.2453451392
154	0.2423531196
155	0.2409013129
156	0.2385211128
157	0.2367027409
158	0.2366997582
159	0.2366970831
160	0.236694684
161	0.2348776201
162	0.2347600262
163	0.2319472728
164	0.2319458012
165	0.23194449
166	0.2304055126
167	0.2291438221
168	0.2291428484
169	0.2291419786
170	0.2291412013
171	0.2261711438
172	0.2261703205
173	0.22616958
174	0.2252110224
175	0.2244060296
176	0.2234847605
177	0.2230500559
178	0.2226443148
179	0.2216435218
180	0.2196595776
181	0.2185910529
182	0.2177356792
183	0.2163391339
184	0.2152466003
185	0.214887229
186	0.2148097158
187	0.2130623419
188	0.2130620114
189	0.2130617137
190	0.2130614455
191	0.2125428056
192	0.2112861677
193	0.2112855839
194	0.2110147281
195	0.2065339155
196	0.2065329992
197	0.2050577637
198	0.2050569814
199	0.2050562822
